2021-09-16 18:25:57,357 INFO  Logger.cs: 70 - 
2021-09-16 18:39:48,596 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in base_car-6
2021-09-16 18:39:48,598 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from wheel_car-6
2021-09-16 18:39:48,599 INFO  ExportHelperExtension.cs: 1136 - Found 32 in wheel_car-6
2021-09-16 18:39:48,600 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in wheel_car-6
2021-09-16 18:39:48,601 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from wheel_car-5
2021-09-16 18:39:48,601 INFO  ExportHelperExtension.cs: 1136 - Found 32 in wheel_car-5
2021-09-16 18:39:48,602 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in wheel_car-5
2021-09-16 18:39:48,603 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from turtletan_car_assem
2021-09-16 18:39:48,604 INFO  ExportHelperExtension.cs: 1136 - Found 37 in turtletan_car_assem
2021-09-16 18:39:48,605 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in turtletan_car_assem
2021-09-16 18:39:48,606 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-09-16 18:39:48,607 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2021-09-16 18:39:48,608 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from base_car-6
2021-09-16 18:39:48,609 INFO  ExportHelperExtension.cs: 1136 - Found 42 in base_car-6
2021-09-16 18:39:48,610 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in base_car-6
2021-09-16 18:39:48,611 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from wheel_car-6
2021-09-16 18:39:48,612 INFO  ExportHelperExtension.cs: 1136 - Found 32 in wheel_car-6
2021-09-16 18:39:48,613 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in wheel_car-6
2021-09-16 18:39:48,614 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from wheel_car-5
2021-09-16 18:39:48,615 INFO  ExportHelperExtension.cs: 1136 - Found 32 in wheel_car-5
2021-09-16 18:39:48,616 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in wheel_car-5
2021-09-16 18:39:48,986 INFO  SwAddin.cs: 339 - Loading config tree
2021-09-16 18:39:48,996 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2021-09-16 18:39:49,002 INFO  SwAddin.cs: 344 - Showing property manager
2021-09-16 18:41:26,416 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:41:38,452 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:41:45,528 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:41:46,030 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:42:33,201 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:42:57,945 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:43:35,667 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:43:52,584 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:44:16,578 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:44:17,023 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:45:12,743 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:45:14,878 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:46:55,452 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:46:58,554 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:47:03,826 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:48:10,852 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:48:24,279 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:48:32,017 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:49:23,390 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:49:29,631 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:50:00,149 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:50:14,967 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:50:18,583 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:50:36,169 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:50:56,764 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:51:06,429 INFO  SwAddin.cs: 294 - Assembly export called for file turtletan_car_assem
2021-09-16 18:51:07,402 INFO  SwAddin.cs: 313 - Saving assembly
2021-09-16 18:51:07,663 INFO  SwAddin.cs: 316 - Opening property manager
2021-09-16 18:51:07,664 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from turtletan_car_assem
2021-09-16 18:51:07,665 INFO  ExportHelperExtension.cs: 1136 - Found 37 in turtletan_car_assem
2021-09-16 18:51:07,667 INFO  ExportHelperExtension.cs: 1145 - Found 3 features of type [CoordSys] in turtletan_car_assem
2021-09-16 18:51:07,667 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-09-16 18:51:07,668 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2021-09-16 18:51:07,669 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from base_car-6
2021-09-16 18:51:07,670 INFO  ExportHelperExtension.cs: 1136 - Found 42 in base_car-6
2021-09-16 18:51:07,671 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in base_car-6
2021-09-16 18:51:07,672 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from wheel_car-6
2021-09-16 18:51:07,674 INFO  ExportHelperExtension.cs: 1136 - Found 32 in wheel_car-6
2021-09-16 18:51:07,675 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in wheel_car-6
2021-09-16 18:51:07,676 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from wheel_car-5
2021-09-16 18:51:07,677 INFO  ExportHelperExtension.cs: 1136 - Found 32 in wheel_car-5
2021-09-16 18:51:07,680 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in wheel_car-5
2021-09-16 18:51:07,681 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from turtletan_car_assem
2021-09-16 18:51:07,682 INFO  ExportHelperExtension.cs: 1136 - Found 37 in turtletan_car_assem
2021-09-16 18:51:07,682 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in turtletan_car_assem
2021-09-16 18:51:07,683 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-09-16 18:51:07,683 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2021-09-16 18:51:07,684 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from base_car-6
2021-09-16 18:51:07,685 INFO  ExportHelperExtension.cs: 1136 - Found 42 in base_car-6
2021-09-16 18:51:07,686 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in base_car-6
2021-09-16 18:51:07,687 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from wheel_car-6
2021-09-16 18:51:07,687 INFO  ExportHelperExtension.cs: 1136 - Found 32 in wheel_car-6
2021-09-16 18:51:07,688 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in wheel_car-6
2021-09-16 18:51:07,689 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from wheel_car-5
2021-09-16 18:51:07,689 INFO  ExportHelperExtension.cs: 1136 - Found 32 in wheel_car-5
2021-09-16 18:51:07,690 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in wheel_car-5
2021-09-16 18:51:07,793 INFO  SwAddin.cs: 339 - Loading config tree
2021-09-16 18:51:07,795 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2021-09-16 18:51:07,800 INFO  SwAddin.cs: 344 - Showing property manager
2021-09-16 18:51:11,626 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:51:15,346 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:51:17,402 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:51:19,708 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:51:28,108 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:51:47,082 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:52:00,983 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:52:20,478 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:52:23,251 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:53:25,102 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:54:36,903 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2021-09-16 18:54:37,299 INFO  ExportHelperExtension.cs: 347 - Creating joint WL
2021-09-16 18:54:37,311 INFO  ExportHelperExtension.cs: 1397 - Fixing components for base_link
2021-09-16 18:54:37,313 INFO  ExportHelperExtension.cs: 1402 - Fixing 70
2021-09-16 18:54:38,016 INFO  : 0 - R1: 1, System.__ComObject, 1, System.Double[]
2021-09-16 18:54:38,024 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2021-09-16 18:54:38,025 INFO  ExportHelperExtension.cs: 849 - L1: 0
2021-09-16 18:54:38,025 INFO  ExportHelperExtension.cs: 857 - L2: 0
2021-09-16 18:54:38,343 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 70
2021-09-16 18:54:40,499 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child WL failed
2021-09-16 18:54:40,533 INFO  ExportHelperExtension.cs: 347 - Creating joint WR
2021-09-16 18:54:40,533 INFO  ExportHelperExtension.cs: 1397 - Fixing components for base_link
2021-09-16 18:54:40,534 INFO  ExportHelperExtension.cs: 1402 - Fixing 70
2021-09-16 18:54:40,872 INFO  ExportHelperExtension.cs: 828 - R1: 1, System.__ComObject, 1, System.Double[]
2021-09-16 18:54:40,873 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2021-09-16 18:54:40,874 INFO  ExportHelperExtension.cs: 849 - L1: 0
2021-09-16 18:54:40,874 INFO  ExportHelperExtension.cs: 857 - L2: 0
2021-09-16 18:54:40,875 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 70
2021-09-16 18:54:42,476 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child WR failed
2021-09-16 18:54:42,680 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from turtletan_car_assem
2021-09-16 18:54:42,694 INFO  ExportHelperExtension.cs: 1136 - Found 42 in turtletan_car_assem
2021-09-16 18:54:42,695 INFO  ExportHelperExtension.cs: 1145 - Found 3 features of type [CoordSys] in turtletan_car_assem
2021-09-16 18:54:42,696 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-09-16 18:54:42,696 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2021-09-16 18:54:42,697 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from base_car-6
2021-09-16 18:54:42,726 INFO  ExportHelperExtension.cs: 1136 - Found 42 in base_car-6
2021-09-16 18:54:42,727 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in base_car-6
2021-09-16 18:54:42,729 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from wheel_car-6
2021-09-16 18:54:42,730 INFO  ExportHelperExtension.cs: 1136 - Found 32 in wheel_car-6
2021-09-16 18:54:42,731 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in wheel_car-6
2021-09-16 18:54:42,731 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from wheel_car-5
2021-09-16 18:54:42,732 INFO  ExportHelperExtension.cs: 1136 - Found 32 in wheel_car-5
2021-09-16 18:54:42,733 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in wheel_car-5
2021-09-16 18:54:42,733 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from turtletan_car_assem
2021-09-16 18:54:42,733 INFO  ExportHelperExtension.cs: 1136 - Found 42 in turtletan_car_assem
2021-09-16 18:54:42,734 INFO  ExportHelperExtension.cs: 1145 - Found 2 features of type [RefAxis] in turtletan_car_assem
2021-09-16 18:54:42,734 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-09-16 18:54:42,735 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2021-09-16 18:54:42,735 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from base_car-6
2021-09-16 18:54:42,736 INFO  ExportHelperExtension.cs: 1136 - Found 42 in base_car-6
2021-09-16 18:54:42,736 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in base_car-6
2021-09-16 18:54:42,737 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from wheel_car-6
2021-09-16 18:54:42,737 INFO  ExportHelperExtension.cs: 1136 - Found 32 in wheel_car-6
2021-09-16 18:54:42,738 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in wheel_car-6
2021-09-16 18:54:42,738 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from wheel_car-5
2021-09-16 18:54:42,739 INFO  ExportHelperExtension.cs: 1136 - Found 32 in wheel_car-5
2021-09-16 18:54:42,739 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in wheel_car-5
2021-09-16 18:54:42,861 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-16 18:56:32,822 INFO  AssemblyExportForm.cs: 253 - Completing URDF export
2021-09-16 18:56:32,833 INFO  ConfigurationSerialization.cs: 276 - URDF Configuration found
